nik,section,sub_section,dedicated
10451,Inspeksi,Camera Offline,1
10451,Inspeksi,Meja,0
10451,Inspeksi,Shrink,0
10451,Inspeksi,Cluster,0
10451,Inspeksi,Stickering,0
10451,Inspeksi,Rework,0
10451,Inspeksi,Leader Meja,0
10452,Inspeksi,Camera Offline,1
10452,Inspeksi,Meja,0
10452,Inspeksi,Shrink,0
10452,Inspeksi,Cluster,0
10452,Inspeksi,Stickering,0
10453,Inspeksi,Leader Inspeksi,1
10453,Inspeksi,Meja,0
10453,Inspeksi,Camera Offline,0
10453,Inspeksi,Shrink,0
10453,Inspeksi,Cluster,0
10453,Inspeksi,Stickering,0
10454,Inspeksi,Admin Inspeksi,1
10454,Inspeksi,Meja,0
10454,Inspeksi,Camera Offline,0
10454,Inspeksi,Shrink,0
10454,Inspeksi,Cluster,0
10454,Inspeksi,Stickering,0
10456,Inspeksi,Camera Offline,1
10456,Inspeksi,Leader Inspeksi,0
10456,Inspeksi,Meja,0
10456,Inspeksi,Shrink,0
10456,Inspeksi,Cluster,0
10456,Inspeksi,Stickering,0
10457,Inspeksi,Admin Inspeksi,1
10457,Inspeksi,Meja,0
10457,Inspeksi,Camera Offline,0
10457,Inspeksi,Shrink,0
10457,Inspeksi,Cluster,0
10457,Inspeksi,Stickering,0
10459,Finished goods,Penandaan,1
10459,Finished goods,Putway,0
10463,Inspeksi,Leader Inspeksi,1
10463,Inspeksi,Meja,0
10463,Inspeksi,Camera Offline,0
10463,Inspeksi,Shrink,0
10463,Inspeksi,Cluster,0
10463,Inspeksi,Stickering,0
10464,Finished goods,Leader Finished goods,1
10465,Delivery,Admin Delivery,1
10465,Delivery,Admin FG,0
10466,Finished goods,Admin Finished goods,1
10466,Finished goods,Admin Inspeksi,0
10468,Delivery,Leader Delivery,1
10470,Inspeksi,Camera Offline,1
10470,Inspeksi,Meja,0
10470,Inspeksi,Shrink,0
10470,Inspeksi,Cluster,0
10470,Inspeksi,Stickering,0
10471,Inspeksi,Leader Inspeksi,1
10471,Inspeksi,Meja,0
10471,Inspeksi,Camera Offline,0
10471,Inspeksi,Shrink,0
10471,Inspeksi,Cluster,0
10471,Inspeksi,Stickering,0
10473,Inspeksi,Admin Inspeksi,1
10473,Inspeksi,Meja,0
10473,Inspeksi,Camera Offline,0
10473,Inspeksi,Shrink,0
10473,Inspeksi,Cluster,0
10473,Inspeksi,Stickering,0
10477,Inspeksi,Camera Offline,1
10477,Inspeksi,Meja,0
10477,Inspeksi,Shrink,0
10477,Inspeksi,Cluster,0
10477,Inspeksi,Stickering,0
10477,Inspeksi,Rework,0
10483,Inspeksi,Camera Offline,1
10483,Inspeksi,Leader Inspeksi,0
10483,Inspeksi,Meja,0
10483,Inspeksi,Shrink,0
10483,Inspeksi,Cluster,0
10483,Inspeksi,Stickering,0
10484,Operator Forklift,Operator Forklift,1
10485,Operator Forklift,Operator Forklift,1
10485,Operator Forklift,Dispatcer,0
10488,Inspeksi,Camera Offline,1
10488,Inspeksi,Meja,0
10488,Inspeksi,Shrink,0
10488,Inspeksi,Cluster,0
10488,Inspeksi,Stickering,0
10488,Inspeksi,Rework,0
10488,Inspeksi,Leader Meja,0
10494,Operator Forklift,Operator Forklift,1
10498,Delivery,Checker SAP,1
10499,RM/PM,Checker,1
